paragraphId,chapterTitle,subChapterTitle,content,summary
61,4. Due diligence,,"The core elements of due diligence are reflected directly in Disclosure Requirements set out in ESRS 2 and in the topical ESRS as illustrated below:\n (a) embedding due diligence in governance strategy and business model3 . This is addressed under:\n (ai) ESRS 2 GOV-2: Information provided to and sustainability matters addressed by the undertaking's administrative, management and supervisory bodies;\n (aii) ESRS 2 GOV-3: Integration of sustainability-related performance in incentive schemes; and\n (aiii) ESRS 2 SBM-3: Material impacts, risks and opportunities and their interaction with strategy and business model.\n (b) engaging with affected stakeholders4 . This is addressed under:\n (bi) ESRS 2 GOV-2;\n (bii) ESRS 2 SBM-2: Interests and views of stakeholders; iii. ESRS 2 IRO-1; iv. ESRS 2 MDR-P; and\n (biii) Topical ESRS: reflecting the different stages and purposes of stakeholder engagement throughout the due diligence process.\n (c) identifying and assessing negative impacts on people and the environment5 . This is addressed under\n (ci) ESRS 2 IRO-1 (including Application Requirements related to specific sustainability matters in the relevant ESRS); and\n (cii) ESRS 2 SBM-3;\n (d) taking action to address negative impacts on people and the environment6 . This is addressed under:\n (di) ESRS 2 MDR-A; and\n (dii) Topical ESRS: reflecting the range of actions including transition plans, through which impacts are addressed.\n (e) tracking the effectiveness of these efforts7 . This is addressed under:\n (ei) ESRS 2 MDR-M; ii. ESRS 2 MDR-T; and iii. Topical ESRS: regarding metrics and targets.","The core elements of due diligence, as outlined in ESRS 2 and topical ESRS, include embedding due diligence in governance strategy and business model, engaging with affected stakeholders, identifying and addressing negative impacts on people and the environment, and tracking the effectiveness of these efforts."
62,5. Value chain,5.1 Reporting undertaking and value chain,The sustainability statement shall be for the same reporting undertaking as the financial statements. For example if the reporting undertaking is a parent company required to prepare consolidated financial statements the sustainability statement will be for the group. This requirement does not apply where the reporting undertaking is not required to draw-up financial statements or where the reporting undertaking is preparing consolidated sustainability reporting pursuant to Article 48i of Directive 2013/34/EU.,"The sustainability statement should match the financial reporting entity, such as a parent company's group, unless the entity is not required to prepare financial statements or is creating consolidated sustainability reports under Directive 2013/34/EU Article 48i."
63,5. Value chain,5.1 Reporting undertaking and value chain,"The information about the reporting undertaking provided in the sustainability statement shall be extended to include information on the material impacts, risks and opportunities connected with the undertaking through its direct and indirect business relationships in the upstream and/or downstream value chain (“value chain information”). In extending the information about the reporting undertaking the undertaking shall include material impacts risks and opportunities connected with its upstream and downstream value chain:\n (a) following the outcome of its due diligence process and of its materiality assessment; and\n (b) in accordance with any specific requirements related to the value chain in other ESRS.","The sustainability statement should include details about the significant impacts, risks, and opportunities related to the company's direct and indirect business relationships in its value chain, based on its due diligence process, materiality assessment, and any specific requirements in other ESRS."
64,5. Value chain,5.1 Reporting undertaking and value chain,Paragraph 63 does not require information on each and every actor in the value chain but only the inclusion of material upstream and downstream value chain information. Different sustainability matters can be material in relation to different parts of the undertaking's upstream and downstream value chain. The information shall be extended to include value chain information only in relation to the parts of the value chain for which the matter is material.,"Paragraph 63 mandates the inclusion of significant upstream and downstream value chain information related to different sustainability matters, not details on every actor in the value chain."
65,5. Value chain,5.1 Reporting undertaking and value chain,The undertaking shall include material value chain information when this is necessary to:\n (a) allow users of sustainability\n (b) produce a set of information that meets the qualitative characteristics of information (see Appendix B of this Standard).,The project will provide necessary material value chain information to enable users to understand sustainability and generate information that satisfies the qualitative characteristics outlined in Appendix B of this Standard.
66,5. Value chain,5.1 Reporting undertaking and value chain,"When determining at which level within its own operations and its upstream and downstream value chain a material sustainability matter arises the undertaking shall use its assessment of impacts, risks and opportunities following the double materiality principle (see chapter 3 of this Standard).","The company should use its evaluation of impacts, risks, and opportunities based on the double materiality principle to identify where a significant sustainability issue occurs in its operations or value chain."
67,5. Value chain,5.1 Reporting undertaking and value chain,When associates or joint ventures accounted for under the equity method or proportionally consolidated in the financial statements are part of the undertaking's value chain for example as suppliers the undertaking shall include information related to those associates or joint ventures in accordance with paragraph 63 consistent with the approach adopted for the other business relationships in the value chain. In this case when determining impact metrics the data of the associate or joint venture are not limited to the share of equity held but shall be taken into account on the basis of the impacts that are connected with the undertaking's products and services through its business relationships.,"When calculating impact metrics for a business, data from associated companies or joint ventures should be included, not just based on equity share, but also considering their impact on the business's products and services."
68,5. Value chain,5.2 Estimation using sector averages and proxies,The undertaking's ability to obtain the necessary upstream and downstream value chain information may vary depending on various factors such as the undertaking's contractual arrangements the level of control that it exercises on the operations outside the consolidation scope and its buying power. When the undertaking does not have the ability to control the activities of its upstream and/or downstream value chain and its business relationships obtaining value chain information may be more challenging.,"The project's ability to gather essential value chain information can be influenced by factors like its contractual agreements, control over operations outside its scope, and buying power, and it may be difficult to obtain this information if it doesn't have control over its value chain and business relationships."
69,5. Value chain,5.2 Estimation using sector averages and proxies,There are circumstances where the undertaking cannot collect the information about its upstream and downstream value chain as required by paragraph 63 after making reasonable efforts to do so. In these circumstances the undertaking shall estimate the information to be reported about its upstream and downstream value chain by using all reasonable and supportable information such as sector-average data and other proxies.,"If a company can't gather information about its supply chain despite reasonable efforts, it should estimate this information using reliable sources like industry-average data and other substitutes."
70,5. Value chain,5.2 Estimation using sector averages and proxies,Obtaining value chain information could also be challenging in the case of SMEs and other upstream and/or downstream value chain entities that are not in the scope of the sustainability reporting required by Articles 19a and 29a of Directive 2013/34/EU (see ESRS 2 BP-2 Disclosures in relation to specific circumstances).,Getting value chain information can be difficult for small and medium enterprises and other entities not covered by the sustainability reporting rules in Directive 2013/34/EU.
71,5. Value chain,5.2 Estimation using sector averages and proxies,"With reference to policies, actions and targets, the undertaking's reporting shall include upstream and/or downstream value chain information to the extent that those policies actions and targets involve actors in the value chain. With reference to metrics in many cases in particular for environmental matters for which proxies are available the undertaking may be able to comply with the reporting requirements without collecting data from the actors in its upstream and downstream value chain especially from SMEs for example when calculating the undertaking's GHG Scope 3 emissions.","The company's reporting should include value chain information related to its policies, actions, and targets, and it may be able to meet these requirements without collecting data from its value chain partners, especially small businesses, by using available proxies for environmental matters like calculating its GHG Scope 3 emissions."
72,5. Value chain,5.2 Estimation using sector averages and proxies,The incorporation of estimates made using sector-average data or other proxies shall not result in information that does not meet the qualitative characteristics of information (see chapter 2 and section 7.2 Sources of estimation and outcome uncertainty of this Standard).,The use of average data or proxies for estimates should not produce information that fails to meet the quality standards outlined in chapter 2 and section 7.2 of this Standard.
73,6. Time horizons,6.1 Reporting period,The reporting period for the undertaking's sustainability statement shall be consistent with that of its financial statements.,The company's sustainability report should align with the timeline of its financial reports.
74,6. Time horizons,"6.2 Linking past, present and future",The undertaking shall establish appropriate linkages in its sustainability statement between retrospective and forward-looking information when relevant to foster a clear understanding of how historical information relates to future-oriented information.,The project will create connections in its sustainability report between past and future data to help clearly understand how historical information affects future predictions.
75,6. Time horizons,6.3 Reporting progress against the base year,A base year is the historical reference date or period for which information is available and against which subsequent information can be compared over time.,A base year is a specific time in the past used as a reference point to compare and analyze information over time.
76,6. Time horizons,6.3 Reporting progress against the base year,The undertaking shall present comparative information in respect of the base year for amounts reported in the current period when reporting the developments and progress towards a target unless the relevant Disclosure Requirement already defines how to report progress. The undertaking may also include historical information about achieved milestones between the base year and the reporting period when this is relevant information.,"The project will provide comparison data from the base year for current period reports, detailing progress towards goals, unless already defined by Disclosure Requirements, and may include past achievements between the base year and reporting period if relevant."
77,6. Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",When preparing its sustainability statement the undertaking shall adopt the following time intervals as of the end of the reporting period:\n (a) for the short-term time horizon: the period adopted by the undertaking as the reporting period in its financial statements;\n (b) for the medium-term time horizon: from the end of the short-term reporting period defined in (a) up to 5 years; and\n (c) for the long-term time horizon: more than 5 years.,"When creating a sustainability statement, a company should use short-term (the same period as its financial reports), medium-term (up to 5 years from the end of the short-term period), and long-term (more than 5 years) time frames."
78,6. Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",The undertaking shall use an additional breakdown for the long-term time horizon when impacts or actions are expected in a period longer than 5 years if necessary to provide relevant information to users of sustainability statements.,The project will provide extra details for impacts or actions expected over 5 years in sustainability reports to give useful information to the readers.
79,6. Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",If different definitions of medium- or long-term time horizons are required for specific items of disclosure in other ESRS the definitions in those ESRS shall prevail.,"If other ESRS require specific time frames for certain disclosures, those definitions should be used."
80,6. Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes","There may be circumstances where the use of the medium- or long-term time horizons defined in paragraph 77 results in non-relevant information as the undertaking uses a different definition for 13 (i) its processes of identification and management of material impacts, risks and opportunities or (ii) the definition of its actions and setting targets. These circumstances may be due to industryspecific characteristics such as cash flow and business cycles the expected duration of capital investments the time horizons over which the users of sustainability statements conduct their assessments or the planning horizons typically used in the undertaking's industry for decisionmaking. In these circumstances the undertaking may adopt a different definition of medium- and/or long- term time horizons (see ESRS 2 BP-2 paragraph 9).","In certain situations, due to industry-specific characteristics or different business processes, a company may use different definitions of medium- and long-term time horizons than those outlined in paragraph 77, to provide more relevant information for sustainability statements."
81,6. Time horizons,"6.4 Definition of short-, medium- and long-term for reporting purposes",References to “short-term” “medium-term” and “long-term” in ESRS refer to the time horizon as determined by the undertaking according to the provisions in paragraphs 77 to 80,"The terms ""short-term"", ""medium-term"", and ""long-term"" in ESRS are defined by the undertaking based on the guidelines in paragraphs 77 to 80."
82,7. Preparation and presentation of sustainability information,,This chapter provides general requirements to be applied when preparing and presenting sustainability information.,This chapter outlines the guidelines for creating and sharing sustainability information.
83,7. Preparation and presentation of sustainability information,7.1 Presenting comparative information,The undertaking shall disclose comparative information in respect of the previous period for all quantitative metrics and monetary amounts disclosed in the current period. When relevant to an understanding of the current period's sustainability statement the undertaking shall also disclose comparative information for narrative disclosures.,"The project will provide comparison data from the previous period for all numerical measures and monetary values shared in the current period, and when it helps understand the current sustainability report, it will also provide comparison information for descriptive reports."
84,7. Preparation and presentation of sustainability information,7.1 Presenting comparative information,When the undertaking reports comparative information that differs from the information reported in the previous period it shall disclose:\n (a) the difference between the figure reported in the previous period and the revised comparative figure; and\n (b) the reasons for the revision of the figure.,"If a business's comparative data changes from the previous period, it must explain the difference between the old and revised figures and why the figure was changed."
85,7. Preparation and presentation of sustainability information,7.1 Presenting comparative information,Sometimes it is impracticable to adjust comparative information for one or more prior periods to achieve comparability with the current period. For example data might not have been collected in the prior period(s) in a way that allows either retrospective application of a new definition of a metric or target or retrospective restatement to correct a prior period error and it may be impracticable to recreate the information (see ESRS 2 BP-2). When it is impracticable to adjust comparative information for one or more prior periods the undertaking shall disclose this fact.,"If it's impossible to adjust past data to match the current period due to issues like different data collection methods or errors, the company should disclose this fact."
86,7. Preparation and presentation of sustainability information,7.1 Presenting comparative information,When an ESRS requires the undertaking to present more than one comparative period for a metric or datapoint the requirements of that ESRS shall prevail.,"If an ESRS asks for multiple comparison periods for a specific metric or datapoint, the rules of that ESRS should be followed."
87,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,When quantitative metrics and monetary amounts including upstream and downstream value chain information (see chapter 5 of this Standard) cannot be measured directly and can only be estimated measurement uncertainty may arise.,"Measurement uncertainty may occur when quantitative metrics, monetary amounts, and value chain information can't be directly measured and must be estimated."
88,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,An undertaking shall disclose information to enable users to understand the most significant uncertainties affecting the quantitative metrics and monetary amounts reported in its sustainability statement.,A company should share information that helps users understand the major uncertainties impacting the numbers and money amounts reported in its sustainability statement.
89,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,The use of reasonable assumptions and estimates including scenario or sensitivity analysis is an essential part of preparing sustainability-related information and does not undermine the usefulness of that information provided that the assumptions and estimates are accurately described and explained. Even a high level of measurement uncertainty would not necessarily prevent such an assumption or estimate from providing useful information or meeting the qualitative characteristics of information (see Appendix B of this Standard).,"The preparation of sustainability-related information requires the use of reasonable assumptions and estimates, which remain useful even with high measurement uncertainty, as long as they are accurately described and explained."
90,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,Data and assumptions used in preparing the sustainability statement shall be consistent to the extent possible with the corresponding financial data and assumptions used in the undertaking's financial statements.,The data and assumptions used in creating the sustainability statement should match as closely as possible with those used in the company's financial statements.
91,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,Some ESRS require the disclosure of information such as explanations about possible future events that have uncertain outcomes. In judging whether information about such possible future events is material the undertaking shall refer to the criteria in Chapter 3 of this Standard and consider:\n (a) the potential financial effects of the events (the possible outcome);\n (b) the severity and likelihood of the impacts on people or the environment resulting from the possible events taking account of the factors of severity specified in paragraph 45; and\n (c) the full range of possible outcomes and the likelihood of the possible outcomes within that range.,"ESRS require the disclosure of information about potential future events with uncertain outcomes, considering their possible financial effects, impacts on people or the environment, and the range and likelihood of possible outcomes."
92,7. Preparation and presentation of sustainability information,7.2 Sources of estimation and outcome uncertainty,When assessing the possible outcomes the undertaking shall consider all relevant facts and circumstances including information about low-probability and high-impact outcomes which when aggregated could become material. For example the undertaking might be exposed to several impacts or risks each of which could cause the same type of disruption such as disruptions to the undertaking's supply chain. Information about an individual source of risk might not be material if disruption from that source is highly unlikely to occur. However information about the aggregate risk of supply chain disruption from all sources might be material (see ESRS 2 BP-2).,"When evaluating potential outcomes, the undertaking should consider all relevant information, including low-chance, high-impact events, as the combined risk from multiple sources could significantly disrupt the supply chain."
93,7. Preparation and presentation of sustainability information,7.3 Updating disclosures about events after the end of the reporting period,In some cases the undertaking may receive information after the reporting period but before the management report is approved for issuance. If such information provides evidence or insights about conditions existing at period end the undertaking shall where appropriate update estimates and sustainability disclosures in the light of the new information.,"If a business receives new information after a reporting period but before the final report is issued, it should update its estimates and sustainability disclosures if the information relates to conditions at the end of the period."
94,7. Preparation and presentation of sustainability information,7.3 Updating disclosures about events after the end of the reporting period,When such information provides evidence or insights about material transactions other events and conditions that arise after the end of the reporting period the undertaking shall where appropriate provide narrative information indicating the existence nature and potential consequences of these post-year end events.,"The company should provide detailed information about significant transactions and events that occur after the reporting period, including their nature and potential impact."
95,7. Preparation and presentation of sustainability information,7.4 Changes in preparation or presentation of sustainability information,The definition and calculation of metrics including metrics used to set targets and monitor progress towards them shall be consistent over time. The undertaking shall provide restated comparative figures unless it is impracticable to do so (see ESRS 2 BP-2) when it has:\n (a) redefined or replaced a metric or target;\n (b) identified new information in relation to the estimated figures disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period.,"The company must consistently define and calculate metrics for setting and tracking goals, and should provide updated comparison figures when a metric or target is changed or new information about previous estimates is discovered."
96,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,The undertaking shall correct material prior period errors by restating the comparative amounts for the prior period(s) disclosed unless it is impracticable to do so. This requirement does not extend to reporting periods before the first year of application of ESRS by the undertaking.,"The project will fix significant past mistakes by adjusting the comparison figures from previous periods, unless it's too difficult, but this doesn't apply to periods before the first year of using ESRS."
97,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Prior period errors are omissions from and misstatements in the undertaking's sustainability statement for one or more prior periods. Such errors arise from a failure to use or misuse of reliable information that:\n (a) was available when the management report that includes the sustainability statement for those periods was authorised for issuance; and\n (b) could reasonably be expected to have been obtained and considered in the preparation of sustainability disclosures included in these reports.,"Prior period errors are mistakes or omissions in a company's sustainability statement from previous periods, caused by not using or misusing available and reliable information when the report was authorized."
98,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Such errors include: the effects of mathematical mistakes mistakes in applying the definitions for metrics or targets oversights or misinterpretations of facts and fraud.,"These errors can be due to mathematical mistakes, incorrect application of metrics or targets, misunderstanding of facts, or fraud."
99,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Potential errors in the current period discovered in that period are corrected before the management report is authorised for issuance. However material errors are sometimes only discovered in a subsequent period.,"Mistakes found in the current period are fixed before approving the management report, but significant errors are sometimes only identified in a later period."
100,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,When it is impracticable to determine the effect of an error on all prior periods presented the undertaking shall restate the comparative information to correct the error from the earliest date practicable. When correcting disclosures for a prior period the undertaking shall not use hindsight either in making assumptions about what the management's intentions would have been in a prior period or in estimating the amounts disclosed in a prior period. This requirement applies to correction of both backward-looking and forward- looking disclosures.,"When an error's impact on previous periods can't be determined, the company should correct the error from the earliest possible date without using hindsight to assume past intentions or estimate past disclosures, applicable to both past and future disclosures."
101,7. Preparation and presentation of sustainability information,7.5 Reporting errors in prior periods,Corrections of errors are distinguished from changes in estimates. Estimates may need to be revised as additional information becomes known (see ESRS 2 BP-2).,"Correcting mistakes is different from updating estimates, which may be adjusted as more information becomes available."
102,7. Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"When the undertaking is reporting at a consolidated level it shall perform its assessment of material impacts, risks and opportunities for the entire consolidated group regardless of its group legal structure. It shall ensure that all subsidiaries are covered in a way that allows for the unbiased identification of material impacts risks and opportunities. Criteria and thresholds for assessing an impact risk or opportunity as material shall be determined based on chapter 3 of this Standard.","The task requires assessing material impacts, risks, and opportunities for the whole group, including all subsidiaries, based on criteria from chapter 3 of this Standard, regardless of the group's legal structure."
103,7. Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"Where the undertaking identifies significant differences between material impacts, risks or opportunities at group level and material impacts risks or opportunities of one or more of its subsidiaries the undertaking shall provide an adequate description of the impacts risks and opportunities as appropriate of the subsidiary or subsidiaries concerned.","If a company finds major differences between its overall risks, impacts, or opportunities and those of its subsidiaries, it must provide a detailed explanation of the subsidiary's specific risks, impacts, and opportunities."
104,7. Preparation and presentation of sustainability information,7.6 Consolidated reporting and subsidiary exemption,"When assessing whether the differences between material impacts, risks or opportunities at group level and material impacts risks or opportunities of one or more of its subsidiaries are significant the undertaking may consider different circumstances such as whether the subsidiary or subsidiaries operate in a different sector than the rest of the group or the circumstances reflected in section 3.7 Level of disaggregation.",The company can determine the significance of differences in risks or opportunities between the group and its subsidiaries by considering factors like the subsidiary's operating sector or the level of disaggregation.
105,7. Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",The undertaking is not required to disclose classified information or sensitive information even if such information is considered material.,"The company is not obligated to share confidential or sensitive information, even if it's important."
106,7. Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation","When disclosing information about its strategy, plans and actions where a specific piece of information corresponding to intellectual property know-how or the results of innovation is relevant to meet the objective of a Disclosure Requirement the undertaking may nevertheless omit that specific piece of information if it:\n (a) is secret in the sense that it is not as a body or in the precise configuration and assembly of its components generally known among or readily accessible to persons within the circles that normally deal with the kind of information in question;\n (b) has commercial value because it is secret; and\n (c) has been subject to reasonable steps by the undertaking to keep it secret.","A company can omit certain information related to its intellectual property or innovation results from disclosure requirements if it's a secret, has commercial value due to its secrecy, and reasonable efforts have been made to keep it secret."
107,7. Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",If the undertaking omits classified information or sensitive information or a specific piece of information corresponding to intellectual property know-how or the results of innovation because it meets the criteria established in the previous paragraph it shall comply with the disclosure requirement in question by disclosing all other required information.,"If a task excludes certain confidential or intellectual property information, it should still meet disclosure requirements by sharing all other necessary information."
108,7. Preparation and presentation of sustainability information,"7.7 Classified and sensitive information, and information on intellectual property, know-how or results of innovation",The undertaking shall make every reasonable effort to ensure that beyond the omission of the classified information or sensitive information or of the specific piece of information corresponding to intellectual property know-how or the results of innovation the overall relevance of the disclosure in question is not impaired.,"The project will try its best to make sure that even when sensitive or proprietary information is left out, the overall importance of the disclosure is not affected."
109,7. Preparation and presentation of sustainability information,7.8 Reporting on opportunities,When reporting on opportunities the disclosure should consist of descriptive information allowing the reader to understand the opportunity for the undertaking or the entire sector. When reporting on opportunities the undertaking shall consider the materiality of the information to be disclosed. In this context it shall consider among other factors:\n (a) whether the opportunity is currently being pursued and is incorporated in its general strategy as opposed to a general opportunity for the undertaking or the sector; and\n (b) whether the inclusion of quantitative measures of anticipated financial effects is appropriate taking into account the number of assumptions that it could require and consequential uncertainty.,"When reporting opportunities, the company should provide clear descriptions, consider the importance of the information, whether the opportunity is part of its strategy, and if it's suitable to include expected financial effects, considering the potential assumptions and uncertainties."
110,8. Structure of the sustainability statement,,This chapter provides the basis for the presentation of the information about sustainability matters prepared in compliance with Articles 19a and 29a of Directive 2013/34/EU (i.e. the sustainability statement) within the undertaking's management report. Such information is presented in a dedicated section of the management report identified as the sustainability statement. Appendix F Example of structure of ESRS sustainability statement of this Standard provides an illustrative example of a sustainability statement structured according to the requirements of this chapter.,"This chapter explains how to present sustainability information in a company's management report as required by Directive 2013/34/EU, with a specific section called the sustainability statement, and includes an example in Appendix F."
111,8. Structure of the sustainability statement,8.1 General presentation requirement,Sustainability information shall be presented:\n (a) in a way that allows a distinction between information required by disclosures in ESRS and other information included in the management report; and\n (b) under a structure that facilitates access to and understanding of the sustainability statement in a format that is both human-readable and machine-readable.,"Sustainability information should be presented clearly and structured in a way that differentiates required disclosures and other details, making it easy to access, understand, and readable by both humans and machines."
112,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,Except for the possibility to incorporate information by reference in accordance with section 9.1 Incorporation by reference of this Standard the undertaking shall report all the applicable disclosures required by ESRS in accordance with chapter 1 of this Standard within a dedicated section of the management report.,"The company must report all necessary disclosures required by ESRS in a specific section of the management report, except for information included by reference as per section 9.1 of this Standard."
113,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The undertaking shall include in its sustainability statement the disclosures pursuant to Article 8 of Regulation (EU) 2020/852 of the European Parliament and the Council 8 and to the Commission Delegated Regulations that specify the content and other modalities of those disclosures. The undertaking shall ensure that these disclosures are separately identifiable within the sustainability statement. The disclosures relating to each of the environmental objectives defined in the Taxonomy Regulation shall be presented together in a clearly identifiable part of the environmental section of the sustainability statement. These disclosures are not subject to the provisions of ESRS with the exception of this paragraph and the first sentence of paragraph 115 of this standard.,"The business must include specific disclosures in its sustainability statement as per European regulations, ensure they are identifiable, and group those related to environmental objectives together, with certain exceptions to ESRS provisions."
114,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,When the undertaking includes in its sustainability statement additional disclosures stemming from (i) other legislation which requires the undertaking to disclose sustainability information or (ii) generally accepted sustainability reporting standards and frameworks including non mandatory guidance and sector-specific guidance published by other standardsetting bodies (such as technical material issued by the International Sustainability Standards Board or the Global Reporting Initiative) such disclosures shall:\n (a) be clearly identified with an appropriate reference to the related legislation standard or framework (see ESRS 2 BP-2 paragraph 15);\n (b) meet the requirements for qualitative characteristics of information specified in chapter 2 and Appendix B of this standard.,"The undertaking should include additional sustainability disclosures from other laws or accepted reporting standards in its sustainability statement, and these disclosures should be clearly identified and meet the specified qualitative characteristics of information."
115,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The undertaking shall structure its sustainability statement in four parts in the following order: general information environmental information (including disclosures pursuant to Article 8 of Regulation (EU) 2020/852) social information and governance information. Respecting the provision in section 3.6 Material impacts or risks arising from actions to address sustainability matters of this Standard when information provided in one part contains information to be reported in another part the undertaking may refer in one part to information presented in another part avoiding duplications. The undertaking may apply the detailed structure illustrated in Appendix F of this Standard.,"The business will organize its sustainability statement into four sections: general, environmental, social, and governance information, and can refer to information in one section to avoid repetition, following the structure provided in Appendix F of this Standard."
116,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,The disclosures required by sector-specific ESRS shall be grouped by reporting area and where applicable by sustainability topic. They shall be presented alongside the disclosures required by ESRS 2 and the corresponding topical ESRS.,"The necessary information required by specific ESRS should be organized by reporting area and sustainability topic, and displayed with the information required by ESRS 2 and related topical ESRS."
117,8. Structure of the sustainability statement,8.2 Content and structure of the sustainability statement,Where the undertaking develops material entity-specific disclosures in accordance with paragraph 11 it shall report those disclosures alongside the most relevant sector-agnostic and sector-specific disclosures.,"When a project creates specific disclosures for a material entity as per paragraph 11, it should present these disclosures next to the most applicable general and specific sector disclosures."
118,9. Linkages with other parts of corporate reporting and connected information,,The undertaking shall provide information that enables users of its sustainability statement to understand the connections between different pieces of information in the statement and the connections between the information in the sustainability statement and other information that the undertaking discloses in other parts of its corporate reporting.,The company will offer details in its sustainability report that help users understand the links between various information in the report and its relation to other disclosed corporate data.
119,9. Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,Provided that the conditions in paragraph 120 are met information prescribed by a Disclosure Requirement of an ESRS including a specific datapoint prescribed by a Disclosure Requirement may be incorporated in the sustainability statement by reference to:\n (a) another section of the management report;\n (b) the financial statements;\n (c) the corporate governance statement (if not part of the management report);\n (d) the remuneration report required by Directive 2007/36/EC of the European Parliament and of the Council9 ;\n (e) the universal registration document as referred to in Article 9 of Regulation (EU) 2017/112910; and\n (f) public disclosures under Regulation (EU) No 575/2013 of the European Parliament and of the Council (Pillar 3 disclosures)11. If the undertaking incorporates by reference information from Pillar 3 disclosures it shall ensure that the information matches the scope of consolidation used for the sustainability statement by complementing the incorporated information with additional elements as necessary.,"The information required by a Disclosure Requirement of an ESRS can be included in the sustainability statement by referring to various documents such as the management report, financial statements, corporate governance statement, remuneration report, universal registration document, and public disclosures under Regulation (EU) No 575/2013, provided the conditions in paragraph 120 are met and the information aligns with the scope of the sustainability statement."
120,9. Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,The undertaking may incorporate information by reference to the documents or part of the documents listed in paragraph 119 provided that the disclosures incorporated by reference:\n (a) constitute a separate element of information and are clearly identified in the document concerned as addressing the relevant Disclosure Requirement or the relevant specific datapoint prescribed by a Disclosure Requirement;\n (b) are published before or at the same time as the management report;\n (c) are in the same language as the sustainability statement;\n (d) are subject to at least the same level of assurance as the sustainability statement; and (e) meet the same technical digitalisation requirements as the sustainability statement.,"The project can include data from documents listed in paragraph 119, as long as the information is clearly identified, published at the same time or before the management report, in the same language as the sustainability statement, subject to the same assurance level, and meets the same digitalization requirements as the sustainability statement."
121,9. Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,Provided that the conditions established in paragraph 120 are met information prescribed by a Disclosure Requirement of an ESRS including a specific datapoint prescribed by a Disclosure Requirement may be incorporated in the sustainability statement by reference to the undertaking's report prepared according to EU Eco-Management and Audit Scheme (EMAS) Regulation (EU) No 1221/200912. In this case the undertaking shall ensure that the information incorporated by reference is produced using the same basis for preparation of ESRS information including scope of consolidation and treatment of value chain information.,"If the conditions in paragraph 120 are met, a company can include specific data required by an ESRS Disclosure Requirement in its sustainability statement by referring to its report prepared under the EU Eco-Management and Audit Scheme (EMAS) Regulation, as long as the information is produced using the same preparation methods as ESRS information."
122,9. Linkages with other parts of corporate reporting and connected information,9.1 Incorporation by reference,In the preparation of its sustainability statement using incorporation by reference the undertaking shall consider the overall cohesiveness of the reported information and ensure that the incorporation by reference does not impair the readability of the sustainability statement. Appendix G Example of incorporation by reference of this Standard is an illustrative example of incorporation by reference (See ESRS 2 BP-2).,"When preparing its sustainability statement, the company should ensure that the use of incorporation by reference maintains the statement's readability and cohesiveness, as demonstrated in Appendix G of this Standard."
