paragraphId,standardName,chapterId,chapterTitle,disclosureRequirement,dataPointType,content
66a,ESRS E1,3,Disclosure Requirements,E1-9,monetary,"the monetary amount and proportion (percentage) of assets at material physical risk over the short-, medium- and long-term before considering climate change adaptation actions; with the monetary amounts of these assets disaggregated by acute and chronic physical risk49"
66b,ESRS E1,3,Disclosure Requirements,E1-9,percent,the proportion of assets at material physical risk addressed by the climate change adaptation actions;
66c,ESRS E1,3,Disclosure Requirements,E1-9,narrative,the location of significant assets at material physical risk14; and
66d,ESRS E1,3,Disclosure Requirements,E1-9,monetary,"the monetary amount and proportion (percentage) of net revenue from its business activities at material physical risk over the short-, medium- and long-term."
67,ESRS E1,3,Disclosure Requirements,E1-9,,The disclosure of anticipated financial effects from material transition risks required by paragraph 64 (b) shall include:
67a,ESRS E1,3,Disclosure Requirements,E1-9,monetary,"the monetary amount and proportion (percentage) of assets at material transition risk over the short-, medium- and long-term before considering climate mitigation actions;"
67b,ESRS E1,3,Disclosure Requirements,E1-9,percent,the proportion of assets at material transition risk addressed by the climate change mitigation actions;
67c,ESRS E1,3,Disclosure Requirements,E1-9,monetary,a breakdown of the carrying value of the undertaking’s real estate assets by energyefficiency classes15;
67d,ESRS E1,3,Disclosure Requirements,E1-9,monetary,"liabilities that may have to be recognised in financial statements over the short-, medium- and longterm; and"
67e,ESRS E1,3,Disclosure Requirements,E1-9,monetary,"the monetary amount and proportion (percentage) of net revenue from its business activities at material transition risk over the short-, medium- and long-term including, where relevant, the net revenue from the undertaking’s customers operating in coal, oil and gas-related activities."
68,ESRS E1,3,Disclosure Requirements,E1-9,,The undertaking shall disclose reconciliations to the relevant line items or notes in the financial statements of the following:
68a,ESRS E1,3,Disclosure Requirements,E1-9,narrative,significant amounts of the assets and net revenue at material physical risk (as required by paragraph 66);
68b,ESRS E1,3,Disclosure Requirements,E1-9,narrative,"significant amounts of the assets, liabilities, and net revenue at material transition risk (as required by paragraph 67)."
69,ESRS E1,3,Disclosure Requirements,E1-9,,For the disclosure of the potential to pursue climate-related opportunities required by paragraph 64 (c) the undertaking shall consider16:
69a,ESRS E1,3,Disclosure Requirements,E1-9,monetary,its expected cost savings from climate change mitigation and adaptation actions; and
69b,ESRS E1,3,Disclosure Requirements,E1-9,monetary,the potential market size or expected changes to net revenue from low-carbon products and services or adaptation solutions to which the undertaking has or may have access.
70,ESRS E1,3,Disclosure Requirements,E1-9,,A quantification of the financial effects that arise from opportunities is not required if such a disclosure does not meet the qualitative characteristics of useful information included under ESRS 1 Appendix e Qualitative characteristics of information.
AR1,ESRS E1,3,Disclosure Requirements,E1-1,,"A transition plan relates to the undertaking’s efforts in climate change mitigation. When disclosing its transition plan, the undertaking is expected to provide a high-level explanation of how it will adjust its strategy and business model to ensure compatibility with the transition to a sustainable economy and with the limiting of global warming to 1.5°C in line with the Paris Agreement (or an updated inter national agreement on climate change) and the objective of achieving climate neutrality by 2050 with no or limited overshoot as established in Regulation (EU) 2021/1119 (European Climate Law), and where applicable, how it will adjust its exposure to coal, and oil and gas-related activities."
AR2,ESRS E1,3,Disclosure Requirements,E1-1,,"Sectoral pathways have not yet been defined by the public policies for all sectors. Hence, the disclosure under paragraph 16 (a) on the compatibility of the transition plan with the objective of limiting global warming to 1.5°C should be understood as the disclosure of the undertaking’s GHG emissions reduction target. The disclosure under paragraph 16 (a) shall be benchmarked in relation to a pathway to 1.5°C. This benchmark should be based on either a sectoral decarbonisation pathway if available for the undertaking’s sector or an economy-wide scenario bearing in mind its limitations (i.e., it is a simple translation of emission reduction objectives from the state to undertaking level). This AR should be read also in conjunction with AR 26 and AR 27 and the sectoral decarbonisation pathways they refer to."
AR3,ESRS E1,3,Disclosure Requirements,E1-1,,When disclosing the information required under paragraph 16(d) the undertaking may consider:
AR3a,ESRS E1,3,Disclosure Requirements,E1-1,,"the cumulative locked-in GHG emissions associated with key assets from the reporting year until 2030 and 2050 in tCO2eq. This will be assessed as the sum of the estimated Scopes 1 and 2 GHG emissions over the operating lifetime of the active and firmly planned key assets. Key assets are those owned or controlled by the undertaking, and they consist of existing or planned assets (such as stationary or mobile installations, facilities, and equipment) that are sources of either significant direct or energy-indirect GHG emissions. Firmly planned key assets are those that the undertaking will most likely deploy within the next 5 years."
AR3b,ESRS E1,3,Disclosure Requirements,E1-1,,"the cumulative locked-in GHG emissions associated with the direct use-phase GHG emissions of sold products in tCO2eq, assessed as the sales volume of products in the reporting year multiplied by the sum of estimated direct use-phase GHG emissions over their expected lifetime. This requirement only applies if the undertaking has identified the Scope 3 category “use of sold products” as significant under Disclosure Requirement E1-6 paragraph 51; and"
AR3c,ESRS E1,3,Disclosure Requirements,E1-1,,"an explanation of the plans to manage, i.e., to transform, decommission or phase out its GHG-intensive and energy-intensive assets and products."
AR4,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information required under paragraph 16 (e), the undertaking shall explain how the alignment of its economic activities with the provisions of Commission Delegated Regulation (EU) 2021/2139 is expected to evolve over time to support its transition to a sustainable economy. In doing so, the undertaking shall take account of the key performance indicators required to be disclosed under Article 8 of Regulation (EU) 2020/852 (in particular taxonomy-aligned revenue and CapEx and, if applicable, CapEx plans)."
AR5,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information required under paragraph 16 (f), the undertaking shall state whether or not it is excluded from the EU Paris-aligned eenchmarks in accordance with the exclusion criteria stated in Articles 12.1 (d) to (g)53 and 12.2 of Commission Delegated Regulation (EU) 2020/1818 (Climate eenchmark Standards Regulation)54 ."
AR6,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on the scope of the resilience analysis as required under paragraph 19 (a), the undertaking shall explain which part of its own operations and upstream and downstream value chain as well as which material physical risks and transition risks may have been excluded from the analysis."
AR7,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on how the resilience analysis has been conducted as required under paragraph 19 (b), the undertaking shall explain:"
AR7a,ESRS E1,3,Disclosure Requirements,E1-1,,"the critical assumptions about how the transition to a lower-carbon and resilient economy will affect its surrounding macroeconomic trends, energy consumption and mix, and technology deployment assumptions;"
AR7b,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,the time horizons applied and their alignment with the climate and business scenarios considered for determining material physical and transition risks (paragraphs AR 11to AR 12) and setting GHG emissions reduction targets (reported under Disclosure Requirement E1-4); and
AR7c,ESRS E1,3,Disclosure Requirements,E1-1,,how the estimated anticipated financial effects from material physical and transition risks (as required by Disclosure Requirement E1-9) as well as the mitigation actions and resources (disclosed under Disclosure Requirement E1-3) were considered.
AR8,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on the results of the resilience analysis as required under paragraph 19 (c), the undertaking shall explain:"
AR8a,ESRS E1,3,Disclosure Requirements,E1-1,,"the areas of uncertainties of the resilience analysis and to what extent the assets and business activities at risk are considered within the definition of the undertaking’s strategy, investment decisions, and current and planned mitigation actions;"
AR8b,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"the ability of the undertaking to adjust or adapt its strategy and business model to climate change over the short-, medium- and long-term, including securing ongoing access to finance 16 at an affordable cost of capital, the ability to redeploy, upgrade or decommission existing assets, shifting its products and services portfolio, or reskilling its workforce."
AR9,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on the processes to identify and assess climate impacts as required under paragraph 20 (a), the undertaking shall explain how it has:"
AR9a,ESRS E1,3,Disclosure Requirements,E1-1,,"screened its activities and plans in order to identify actual and potential future GHG emission sources and, if applicable, drivers for other climate-related impacts (e.g., emissions of black carbon or tropospheric ozone or land-use change) in own operations and along the value chain; and"
AR9b,ESRS E1,3,Disclosure Requirements,E1-1,,"assessed its actual and potential impacts on climate change (i.e., its total GHG emissions)."
AR10,ESRS E1,3,Disclosure Requirements,E1-1,,"The undertaking may link the information disclosed under paragraphs 20 (a) and AR 9 to the information disclosed under the following Disclosure Requirements: Disclosure Requirement E1-1, paragraph 16 (d) on locked-in GHG emissions; Disclosure Requirement E1-4 and Disclosure Requirement E1-6."
AR11,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on the processes to identify and assess physical risks as required under paragraph 20 (b), the undertaking shall explain whether and how:"
AR11a,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"it has identified climate-related hazards (see table below) over the short-, mediumand long-term and screened whether its assets and business activities may be exposed to these hazards;"
AR11b,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"it has defined short-, medium- and long-term time horizons and how these definitions are linked to the expected lifetime of its assets, strategic planning horizons and capital allocation plans;"
AR11c,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"it has assessed the extent to which its assets and business activities may be exposed and are sensitive to the identified climate-related hazards, taking into consideration the likelihood, magnitude and duration of the hazards as well as the geospatial coordinates (such as Nomenclature of Territorial Units of Statistics- NUTS for the EU territory) specific to the undertaking’s locations and supply chains; and"
AR11d,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"the identification of climate-related hazards and the assessment of exposure and sensitivity are informed by high emissions climate scenarios, which may, for example, be based on IPCC SSP5-8.5, relevant regional climate projections based on these emission scenarios, or NGFS (Network for Greening the Financial System) climate scenarios with high physical risk such as “Hot house world” or “Too little, too late”. For general requirements regarding climate-related scenario analysis see paragraphs 18, 19, AR 13 to AR 15."
AR12,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information on the processes to identify transition risks and opportunities as required under paragraph 20 (c), the undertaking shall explain whether and how it has:"
AR12a,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"identified transition events (see the table with examples below) over the short-, medium- and long-term and screened whether its assets and business activities may be exposed to these events. In case of transition risks and opportunities, what is considered long-term may cover more than 10 years and may be aligned with climate-related public policy goals;"
AR12b,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"assessed the extent to which its assets and business activities may be exposed and are sensitive to the identified transition events, taking into consideration the likelihood, magnitude and duration of the transition events;"
AR12c,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"informed the identification of transition events and the assessment of exposure by climate-related scenario analysis, considering at least a scenario consistent with the Paris Agreement and limiting climate change to 1.5°C, for example, based on scenarios of the International Energy Agency (Net zero Emissions by 2050, Sustainable Development Scenario, etc), or NGFS (Network for Greening the Financial System) climate scenarios. For the general requirements related to climate-related scenario analysis see paragraphs 18, 19, AR 13 to AR 15; and"
AR12d,ESRS E1,3,Disclosure Requirements,E1-1,semi-narrative,"identified assets and business activities that are incompatible with or need significant efforts to be compatible with a transition to a climate-neutral economy (for example, due to significant locked-in GHG emissions or incompatibility with the requirements for Taxonomy-alignment under Commission Delegated Regulation (EU) 2021/2139)."
AR13,ESRS E1,3,Disclosure Requirements,E1-1,,"When disclosing the information required under paragraphs 19, 20, 21, AR 10 and AR 11, the undertaking shall explain how it has used climate-related scenario analysis that is commensurate to its circumstances to inform the identification and assessment of physical and transition risks and opportunities over the short-, medium- and long-term, including:"
AR13a,ESRS E1,3,Disclosure Requirements,E1-1,,"which scenarios were used, their sources and alignment with state-of-the-art science;"
AR13b,ESRS E1,3,Disclosure Requirements,E1-1,,"narratives, time horizons, and endpoints used with a discussion of why it believes the range of scenarios used covers its plausible risks and uncertainties;"
AR13c,ESRS E1,3,Disclosure Requirements,E1-1,,"the key forces and drivers taken into consideration in each scenario and why these are relevant to the undertaking, for example, policy assumptions, macroeconomic trends, energy usage and mix, and technology assumptions; and"
AR13d,ESRS E1,3,Disclosure Requirements,E1-1,,"key inputs and constraints of the scenarios, including their level of detail (e.g., whether the analysis of physical climate-related risks is based on geospatial coordinates specific to the undertaking’s locations or national- or regional-level broad data)."
AR14,ESRS E1,3,Disclosure Requirements,E1-1,,"When conducting scenario analysis, the undertaking may consider the following guidance: TCFD Technical Supplement on “The Use of Scenario Analysis in Disclosure of ClimateRelated Risks and Opportunities” (2017); TCFD “Guidance on Scenario Analysis for NonFinancial Companies” (2020); ISO 14091:2021 “Adaptation to climate change — Guidelines on vulnerability, impacts and risk assessment”; any other recognised industry standards such as NGFS (Network for Greening the Financial System); and EU, national, regional and local regulations."
AR15,ESRS E1,3,Disclosure Requirements,E1-1,narrative,The undertaking shall briefly explain how the climate scenarios used are compatible with the critical climate-related assumptions made in the financial statements.
AR16,ESRS E1,3,Disclosure Requirements,E1-2,,"Policies related to either climate change mitigation or climate adaptation may be disclosed separately as their objectives, people involved, actions and resources needed to implement them are different."
AR17,ESRS E1,3,Disclosure Requirements,E1-2,,"Policies related to climate change mitigation address the management of the undertaking’s GHG emissions, GHG removals and transition risks over different time horizons, in its own operations and/or in the upstream and downstream value chain. The requirement under paragraph 14 may relate to stand-alone climate change mitigation policies as well as relevant policies on other matters that indirectly support climate change mitigation including training policies, procurement or supply chain policies, investment policies or product development policies."
AR18,ESRS E1,3,Disclosure Requirements,E1-2,,"Policies related to climate change adaptation address the management of the undertaking’s physical climate risks and of its transition risks related to climate change adaptation. The requirement under paragraphs 22 and 25 may relate to stand-alone climate change adaptation policies as well as relevant policies on other matters that indirectly support climate change adaptation including training policies, and emergency or health and safety policies."
AR19,ESRS E1,3,Disclosure Requirements,E1-3,,"When disclosing the information on actions as required under paragraphs 29 (a) and 29 (b), the undertaking may:"
AR19a,ESRS E1,3,Disclosure Requirements,E1-3,,disclose its key actions taken and/or plans to implement climate change mitigation and adaptation policies in its single or separate actions;
AR19b,ESRS E1,3,Disclosure Requirements,E1-3,,"aggregate types of mitigation actions (decarbonisation levers) such as energy efficiency, electrification, fuel switching, use of renewable energy, products change, and supply-chain decarbonisation that fit the undertakings' specific actions;"
AR19c,ESRS E1,3,Disclosure Requirements,E1-3,,disclose the list of key mitigation actions alongside the measurable targets (as required by Disclosure Requirement E1-4) with disaggregation by decarbonisation levers; and
AR19d,ESRS E1,3,Disclosure Requirements,E1-3,semi-narrative,"disclose the climate change adaptation actions by type of adaptation solution such as nature-based adaptation, engineering, or technological solutions."
AR20,ESRS E1,3,Disclosure Requirements,E1-3,,"When disclosing the information on resources as required under paragraph 29 (c), the undertaking shall only disclose the significant OpEx and CapEx amounts required for the implementation of the actions as the purpose of this information is to demonstrate the credibility of its actions rather than to reconcile the disclosed amounts to the financial statements. The disclosed CapEx and OpEx amounts shall be the additions made to both tangible and intangible assets during the current financial year as well as the planned additions for future periods of implementing the actions. The disclosed amounts shall only be the incremental financial investments directly contributing to the achievement of the undertaking’s targets."
AR21,ESRS E1,3,Disclosure Requirements,E1-3,narrative,"In line with the requirements of ESRS 2 MDR-A, the undertaking shall explain if and to what extent its ability to implement the actions depends on the availability and allocation of resources. Ongoing access to finance at an affordable cost of capital can be critical for the implementation of the undertaking’s actions, which include its adjustments to supply/demand changes or its related acquisitions and significant research and development (R&D) investments."
AR22,ESRS E1,3,Disclosure Requirements,E1-3,narrative,"The amounts of OpEx and CapEx required for the implementation of the actions disclosed under paragraph 29 (c) shall be consistent with the key performance indicators (CapEx and OpEx key performance indicators) and, if applicable, the CapEx plan required by Commission Delegated Regulation (EU) 2021/2178. The undertaking shall explain any potential differences between the significant OpEx and CapEx amounts disclosed under this Standard and the key performance indicators disclosed under Commission Delegated Regulation (EU) 2021/2178 due to, for instance, the disclosure of non-eligible economic activities as defined in that delegated regulation. The undertaking may structure its actions by economic activity to compare its OpEx and CapEx, and if applicable its OpEx and/or 20 CapEx plans to its Taxonomy-aligned key performance indicators."
AR23,ESRS E1,3,Disclosure Requirements,E1-4,,"Under paragraph 34 (a), the undertaking may disclose GHG emission reduction targets in intensity value. Intensity targets are formulated as ratios of GHG emissions relative to a unit of physical activity or economic output. Relevant units of activity or output are referred to in ESRS sector-specific standards. In cases where the undertaking has only set a GHG intensity reduction target, it shall nevertheless disclose the associated absolute values for the target year and interim target year(s). This may result in a situation where an undertaking is required to disclose an increase of absolute GHG emissions for the target year and interim target year(s), for example because it anticipates organic growth of its business."
AR24,ESRS E1,3,Disclosure Requirements,E1-4,,"When disclosing the information required under paragraph 34 (b), the undertaking shall specify the share of the target related to each respective GHG emission Scope (1, 2 or 3). The undertaking shall state the method used to calculate Scope 2 GHG emissions included in the target (i.e., either the location-based or market-based method). If the boundary of the GHG emission reduction target diverges from that of the GHG emissions reported under Disclosure Requirement E1-6, the undertaking shall disclose which gases are covered, the respective percentage of Scope 1, 2, 3 and total GHG emissions covered by the target. For the GHG emission reduction targets of its subsidiaries, the undertaking shall analogously apply these requirements at the level of the subsidiary."
AR25,ESRS E1,3,Disclosure Requirements,E1-4,,When disclosing the information required under paragraph 34(c) on base year and baseline value:
AR25a,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"the undertaking shall briefly explain how it has ensured that the baseline value against which the progress towards the target is measured is representative in terms of the activities covered and the influences from external factors (e.g., temperature anomalies in a certain year influencing the amount of energy consumption and related GHG emissions). This can be done by the normalisation of the baseline value, or, by using a baseline value that is derived from a 3-year average if this increases the representativeness and allows a more faithful representation;"
AR25b,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"the baseline value and base year shall not be changed unless significant changes in either the target or reporting boundary occur. In such a case, the undertaking shall explain how the new baseline value affects the new target, its achievement and presentation of progress over time. To foster comparability, when setting new targets, the undertaking shall select a recent base year that does not precede the first reporting year of the new target period by longer than 3 years. For example, for 2030 as the target year and a target period between 2025 and 2030, the base year shall be selected from the period between 2022 and 2025;"
AR25c,ESRS E1,3,Disclosure Requirements,E1-4,,"the undertaking shall update its base year from 2030 and after every 5-year period thereafter. This means that before 2030, the base years chosen by undertakings’ may be either the currently applied base year for existing targets or the first year of application of the sustainability reporting requirements as set out in Article 5(2) of Directive (EU) 2022/2464 (2024, 2025 or 2026) and, after 2030, every 5 years (2030, 2035, etc); and"
AR25d,ESRS E1,3,Disclosure Requirements,E1-4,,"when presenting climate-related targets, the undertaking may disclose the progress in meeting these targets made before its current base year. In doing so, the undertaking shall, to the greatest extent possible, ensure that the information on past progress is consistent with the requirements of this Standard. In the case of methodological 21 differences, for example, regarding target boundaries, the undertaking shall provide a brief explanation for these differences."
AR26,ESRS E1,3,Disclosure Requirements,E1-4,,"When disclosing the information required under paragraphs 34 (d) and 34 (e), the undertaking shall present the information over the target period with reference to a sector- specific, if available, or a cross-sector emission pathway compatible with limiting global warming to 1.5°C. For this purpose, the undertaking shall calculate a 1.5°C aligned reference target value for Scope 1 and 2 (and, if applicable, a separate one for Scope 3) against which its own GHG emission reduction targets or interim targets in the respective Scopes can be compared."
AR27,ESRS E1,3,Disclosure Requirements,E1-4,,The reference target value may be calculated by multiplying the GHG emissions in the base year with either a sector-specific (sectoral decarbonisation methodology) or cross-sector (contraction methodology) emission reduction factor. These emission reduction factors can be derived from different sources. The undertaking should ensure that the source used is based on an emission reduction pathway compatible with limiting global warming to 1.5°C.
AR28,ESRS E1,3,Disclosure Requirements,E1-4,,"The emission reduction factors are subject to further development. Consequently, undertakings are encouraged to only use updated publicly available information."
AR29,ESRS E1,3,Disclosure Requirements,E1-4,,"The reference target value is dependent on the base year and baseline emissions of the undertaking’s GHG emission reduction target. As a result, the reference target value for undertakings with a recent base year or from higher baseline emissions may be less challenging to achieve than it will be for undertakings that have already taken ambitious past actions to reduce GHG emissions. Therefore, undertakings that have in the past achieved GHG emissions reductions compatible with either a 1.5°C-aligned cross-sector or sector specific pathway, may adjust their baseline emissions accordingly to determine the reference target value. Accordingly, if the undertaking is adjusting the baseline emissions to determine the reference target value, it shall not consider GHG emission reductions that precede the year 2020 and it shall provide appropriate evidence of its past achieved GHG emission reduction."
AR30,ESRS E1,3,Disclosure Requirements,E1-4,,"When disclosing the information required under paragraph 34 (f), the undertaking shall explain:"
AR30a,ESRS E1,3,Disclosure Requirements,E1-4,,"by reference to its climate change mitigation actions, the decarbonisation levers and their estimated quantitative contributions to the achievement of its GHG emission reduction targets broken down by each Scope (1, 2 and 3);"
AR30b,ESRS E1,3,Disclosure Requirements,E1-4,,whether it plans to adopt new technologies and the role of these to achieve its GHG emission reduction targets; and
AR30c,ESRS E1,3,Disclosure Requirements,E1-4,narrative,"whether and how it has considered a diverse range of climate scenarios, at least including a climate scenario compatible with limiting global warming to 1.5°C, to detect relevant environmental-, societal-, technology-, market- and policy-related developments and determine its decarbonisation levers."
AR31,ESRS E1,3,Disclosure Requirements,E1-4,,The undertaking may present its GHG emission reduction targets together with its climate change mitigation actions (see paragraph AR 19) as a table or graphical pathway showing developments over time. The following figure and table provide examples combining targets and decarbonisation levers:
AR32,ESRS E1,3,Disclosure Requirements,E1-5,,"When preparing the information on energy consumption required under paragraph 35, the undertaking shall:"
AR32a,ESRS E1,3,Disclosure Requirements,E1-5,,only report energy consumed from processes owned or controlled by the undertaking applying the same perimeter applied for reporting GHG Scopes 1 and 2 emissions;
AR32b,ESRS E1,3,Disclosure Requirements,E1-5,,exclude feedstocks and fuels that are not combusted for energy purposes. The undertaking that consumes fuel as feedstocks can disclose information on this consumption separately from the required disclosures;
AR32c,ESRS E1,3,Disclosure Requirements,E1-5,,"ensure all quantitative energy-related information is reported in either Mega-Watthours (MWh) in Lower Heating Value or net calorific value. If raw data of energyrelated information is only available in energy units other than MWh (such as GigaJoules (GJ) or eritish Thermal Units (etu)), in volume units (such as cubic feet or gallons) or in mass units (such as kilograms or pounds), they shall be converted to MWh using suitable conversion factors (see for example Annex II of the Fifth Assessment IPCC report). Conversion factors for fuels shall be made transparent and applied in a consistent manner;"
AR32d,ESRS E1,3,Disclosure Requirements,E1-5,,"ensure all quantitative energy-related information is reported as final energy consumption, referring to the amount of energy the undertaking actually consumes using for example the table in Annex IV of Directive 2012/27 of the European Parliament and of the Council17 on energy efficiency;"
AR32e,ESRS E1,3,Disclosure Requirements,E1-5,,"avoid double counting fuel consumption when disclosing self-generated energy consumption. If the undertaking generates electricity from either a non-renewable or renewable fuel source and then consumes the generated electricity, the energy consumption shall be counted only once under fuel consumption;"
AR32f,ESRS E1,3,Disclosure Requirements,E1-5,,not offset energy consumption even if onsite generated energy is sold to and used by a third party;
AR32g,ESRS E1,3,Disclosure Requirements,E1-5,,not count energy that is sourced from within the organisational boundary under “purchased or acquired” energy;
AR32h,ESRS E1,3,Disclosure Requirements,E1-5,,"account for steam, heat or cooling received as “waste energy” from a third party’s industrial processes under “purchased or acquired” energy;"
AR32i,ESRS E1,3,Disclosure Requirements,E1-5,,account for renewable hydrogen56 as a renewable fuel. Hydrogen that is not completely derived from renewable sources shall be included under “fuel consumption from other non-renewable sources”; and
AR32j,ESRS E1,3,Disclosure Requirements,E1-5,,"adopt a conservative approach when splitting the electricity, steam, heat or cooling between renewable and non-renewable sources based on the approach applied to calculate market-based Scope 2 GHG emissions. The undertaking shall only consider these energy consumptions as deriving from renewable sources if the origin of the purchased energy is clearly defined in the contractual arrangements with its suppliers (renewable power purchasing agreement, standardised green electricity tariff, market instruments like Guarantee of Origin from renewable sources in Europe18 or similar instruments like Renewable Energy Certificates in the US and Canada, etc.)."
AR33,ESRS E1,3,Disclosure Requirements,E1-5,,The information required under paragraph 37 (a) is applicable if the undertaking is operating in at least one high climate impact sector. The information required under paragraph 38 (a) to (e). shall also include energy from fossil sources consumed in operations that are not in high climate impact sectors.
AR34,ESRS E1,3,Disclosure Requirements,E1-5,percent,The information on Energy consumption and mix may be presented using the following tabular format for high climate impact sectors and for all other sector by omitting rows (1)
AR35,ESRS E1,3,Disclosure Requirements,E1-5,,"The total energy consumption with a distinction between fossil, nuclear and renewable energy consumption may be presented graphically in the sustainability statement showing developments over time (e.g., through a pie or bar chart)."
AR36,ESRS E1,3,Disclosure Requirements,E1-5,,"When preparing the information on energy intensity required under paragraph 40, the undertaking shall:"
AR36a,ESRS E1,3,Disclosure Requirements,E1-5,,calculate the energy intensity ratio using the following formula:
AR36b,ESRS E1,3,Disclosure Requirements,E1-5,,"express the total energy consumption in MWh and the net revenue in monetary units (e.g., Euros);"
AR36c,ESRS E1,3,Disclosure Requirements,E1-5,,"the numerator and denominator shall only consist of the proportion of the total final energy consumption (in the numerator) and net revenue (in the denominator) that are attributable to activities in high climate impact sectors. In effect, there should be consistency in the scope of both the numerator and denominator;"
AR36d,ESRS E1,3,Disclosure Requirements,E1-5,,calculate the total energy consumption in line with the requirement in paragraph 37;
AR36e,ESRS E1,3,Disclosure Requirements,E1-5,,"calculate the net revenue in line with the accounting standards requirements applicable for the financial statements, i.e., IFRS 15 Revenue from Contracts with Customers or local GAAP requirements."
AR37,ESRS E1,3,Disclosure Requirements,E1-5,,The quantitative information may be presented in the following table.Connectivity of energy intensity based on net revenue with financial reporting information
AR38,ESRS E1,3,Disclosure Requirements,E1-5,,The reconciliation of net revenue from activities in high climate impact sectors to the relevant financial statements line item or disclosure (as required by paragraph 43) may be presented either:
AR38a,ESRS E1,3,Disclosure Requirements,E1-5,,by a cross-reference to the related line item or disclosure in the financial statements; or
AR38b,ESRS E1,3,Disclosure Requirements,E1-5,monetary,"If the net revenue cannot be directly cross-referenced to a line item or disclosure in the financial statements, by a quantitative reconciliation using the below tabular format. Net revenue from activities in high climate impact sectors used to calculate energy intensity Net revenue (other) Total net revenue (Financial statements)"
AR39,ESRS E1,3,Disclosure Requirements,E1-6,,"When preparing the information for reporting GHG emissions as required by paragraph 44, the undertaking shall:"
AR39a,ESRS E1,3,Disclosure Requirements,E1-6,,"consider the principles, requirements and guidance provided by the GHG Protocol Corporate Standard (version 2004). The undertaking may consider Commission Recommendation (EU) 2021/227958 or the requirements stipulated by EN ISO 14064- 1:2018. If the undertaking already applies the GHG accounting methodology of ISO 14064- 1: 2018, it shall nevertheless comply with the requirements of this standard (e.g., regarding reporting boundaries and the disclosure of market-based Scope 2 GHG emissions);"
AR39b,ESRS E1,3,Disclosure Requirements,E1-6,narrative,"disclose the methodologies, significant assumptions and emissions factors used to calculate or measure GHG emissions accompanied by the reasons why they were chosen, and provide a reference or link to any calculation tools used;"
AR39c,ESRS E1,3,Disclosure Requirements,E1-6,,"include emissions of CO2, CH4, N2O, HFCs, PFCs, SF6, and NF3. Additional GHG may be considered when significant; and"
AR39d,ESRS E1,3,Disclosure Requirements,E1-6,,use the most recent Global Warming Potential (GWP) values published by the IPCC based on a 100-year time horizon to calculate CO2eq emissions of non-CO2 gases.
AR40,ESRS E1,3,Disclosure Requirements,E1-6,,"When preparing the information for reporting GHG emissions from its associates, joint ventures, unconsolidated subsidiaries (investment entities) and contractual arrangements as required by paragraph 50, the undertaking shall consolidate 100% of the GHG emissions of the entities it operationally controls. In practice, this happens when the undertakings holds the license - or permit - to operate the assets from these associates, joint ventures, unconsolidated subsidiaries (investment entities) and contractual arrangements. When the undertaking has a contractually defined part-time operational control, it shall consolidate 100% the GHG emitted during the time of its operational control."
AR41,ESRS E1,3,Disclosure Requirements,E1-6,Table,"In line with ESRS 1 chapter 3.7, the undertaking shall disaggregate information on its GHG emissions as appropriate. For example, the undertaking may disaggregate its Scope 1, 2, 3, or total GHG emissions by country, operating segments, economic activity, subsidiary, GHG category (CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, and other GHG considered by the undertaking) or source type (stationary combustion, mobile combustion, process emissions and fugitive emissions)."
AR42,ESRS E1,3,Disclosure Requirements,E1-6,,"An undertaking might have a different reporting period from some or all of the entities in its value chain. In such circumstances, the undertaking is permitted to measure its GHG emissions in accordance with paragraph 44 using information for reporting periods that are different from its own reporting period if that information is obtained from entities in its value chain with reporting periods that are different from the undertaking’s reporting period, on the condition that:"
AR42a,ESRS E1,3,Disclosure Requirements,E1-6,,the undertaking uses the most recent data available from those entities in its value chain to measure and disclose its greenhouse gas emissions;
AR42b,ESRS E1,3,Disclosure Requirements,E1-6,,the length of the reporting periods is the same; and
AR42c,ESRS E1,3,Disclosure Requirements,E1-6,narrative,the undertaking discloses the effects of significant events and changes in circumstances (relevant to its GHG emissions) that occur between the reporting dates of the entities in its value chain and the date of the undertaking’s general purpose financial statements.
